SKU,COST,CURRENCY,CREATED_DATE
054137059714,475.98,USD,11/10/2023 9:20:18 PM
054137068471,560.66,USD,11/10/2023 9:20:18 PM
054137072072,185.69,USD,11/10/2023 9:20:17 PM
054137073390,203.43,USD,11/10/2023 9:20:18 PM
054137082583,557.76,USD,11/10/2023 9:20:17 PM
0703639114888,35.15,USD,11/10/2023 9:20:18 PM
08150-HDBL-R,433.3,USD,11/10/2023 9:20:19 PM
08150-HDCL-D,433.3,USD,11/10/2023 9:20:18 PM
08150-HDFF-D,433.3,USD,11/10/2023 9:20:19 PM
08150-HDKV-R,433.3,USD,11/10/2023 9:20:20 PM
08150-HDTZ-R,433.3,USD,11/10/2023 9:20:17 PM
083509240269,105.76,USD,11/10/2023 9:20:19 PM
083509240382,268.18,USD,11/10/2023 9:20:17 PM
083509241549,231.61,USD,11/10/2023 9:20:17 PM
083509242157,46.55,USD,11/10/2023 9:20:18 PM
083509242348,268.18,USD,11/10/2023 9:20:18 PM
083509245486,127.83,USD,11/10/2023 9:20:17 PM
083509252545,73.96000000000001,USD,11/10/2023 9:20:19 PM
083509252576,73.96000000000001,USD,11/10/2023 9:20:18 PM
083509253542,16.77,USD,11/10/2023 9:20:18 PM
083509270006,290.06,USD,11/10/2023 9:20:18 PM
083509270136,150.81,USD,11/10/2023 9:20:18 PM
083509271799,114.81,USD,11/10/2023 9:20:18 PM
083509272161,206.95,USD,11/10/2023 9:20:18 PM
083509272260,76.63,USD,11/10/2023 9:20:18 PM
083509272611,356.07,USD,11/10/2023 9:20:19 PM
083509273052,28.880000000000003,USD,11/10/2023 9:20:18 PM
083509280173,62.23,USD,11/10/2023 9:20:19 PM
083509280180,7471.9,USD,11/10/2023 9:20:18 PM
083509280203,18.04,USD,11/10/2023 9:20:18 PM
083509281743,40.7,USD,11/10/2023 9:20:18 PM
083509283174,252.45,USD,11/10/2023 9:20:18 PM
083509283181,84.5,USD,11/10/2023 9:20:19 PM
083509283747,151.23,USD,11/10/2023 9:20:18 PM
083509400250,35.32,USD,11/10/2023 9:20:18 PM
083509400458,71.18,USD,11/10/2023 9:20:19 PM
083509400687,112.75,USD,11/10/2023 9:20:19 PM
083509400694,129.06,USD,11/10/2023 9:20:18 PM
083509400700,132.13,USD,11/10/2023 9:20:18 PM
083509401226,234.67,USD,11/10/2023 9:20:19 PM
083509401233,234.67,USD,11/10/2023 9:20:19 PM
083509401325,619.12,USD,11/10/2023 9:20:18 PM
083509401370,189.81,USD,11/10/2023 9:20:19 PM
083509401387,45.25,USD,11/10/2023 9:20:18 PM
083509401400,105.12,USD,11/10/2023 9:20:19 PM
083509401509,138.26,USD,11/10/2023 9:20:18 PM
083509401677,208.1,USD,11/10/2023 9:20:18 PM
083509601275,41.21,USD,11/10/2023 9:20:19 PM
083509640120,23.86,USD,11/10/2023 9:20:18 PM
083509640311,23.83,USD,11/10/2023 9:20:18 PM
083509640342,29.73,USD,11/10/2023 9:20:18 PM
083509648065,90.99,USD,11/10/2023 9:20:19 PM
083509654578,19.75,USD,11/10/2023 9:20:19 PM
083509655155,21.83,USD,11/10/2023 9:20:18 PM
083509760293,65.58,USD,11/10/2023 9:20:20 PM
083509787108,96.98,USD,11/10/2023 9:20:18 PM
083509844573,102.92,USD,11/10/2023 9:20:19 PM
083509845273,117.68,USD,11/10/2023 9:20:18 PM
083509845587,98.73,USD,11/10/2023 9:20:18 PM
083509846225,37.81,USD,11/10/2023 9:20:18 PM
083509846386,101.31,USD,11/10/2023 9:20:19 PM
084709027674,128.51,USD,11/10/2023 9:20:18 PM
084709051181,178.54,USD,11/10/2023 9:20:19 PM
084709072070,1630.33,USD,11/10/2023 9:20:20 PM
084709073169,50.74,USD,11/10/2023 9:20:18 PM
084709073237,193.82,USD,11/10/2023 9:20:18 PM
084709073282,162.72,USD,11/10/2023 9:20:18 PM
084709073312,66.49000000000001,USD,11/10/2023 9:20:19 PM
084709073336,247.96,USD,11/10/2023 9:20:19 PM
084709074715,93.38,USD,11/10/2023 9:20:19 PM
084709913052,28.58,USD,11/10/2023 9:20:20 PM
084709913083,66.62,USD,11/10/2023 9:20:20 PM
084709913199,18.62,USD,11/10/2023 9:20:19 PM
084709913410,229.89,USD,11/10/2023 9:20:20 PM
085347015542,78.56,USD,11/10/2023 9:20:19 PM
085347019014,230.94,USD,11/10/2023 9:20:19 PM
085347023240,74.28,USD,11/10/2023 9:20:19 PM
085347036479,2679.57,USD,11/10/2023 9:20:20 PM
085347155408,246.42,USD,11/10/2023 9:20:20 PM
085347227808,80.28,USD,11/10/2023 9:20:21 PM
085347227815,90.8,USD,11/10/2023 9:20:20 PM
085347227822,80.71,USD,11/10/2023 9:20:19 PM
085347227839,577.24,USD,11/10/2023 9:20:19 PM
085347227907,47.35,USD,11/10/2023 9:20:20 PM
086699012012,40.79,USD,11/10/2023 9:20:20 PM
